iter	Logloss	Accuracy
99	0.1418882439	0.9582681671
100	0.1416460025	0.9583826054
101	0.141634681	0.9583444593
102	0.1416287689	0.9582681671
103	0.1416241894	0.958230021
104	0.1414702818	0.9583063132
105	0.1410741131	0.958230021
106	0.1410453936	0.9583063132
107	0.1410115462	0.9581918749
108	0.1410034154	0.9581918749
109	0.1407413729	0.9584207515
110	0.1407161802	0.9584207515
111	0.1406074971	0.9585733359
112	0.1401927737	0.9583444593
113	0.1397178812	0.9585351898
114	0.1395321391	0.9587259203
115	0.1395229292	0.9587259203
116	0.1394801592	0.9587259203
117	0.1394057395	0.9588403586
118	0.1393297767	0.9587640664
119	0.1393249297	0.9587640664
120	0.1393167305	0.9588022125
121	0.1393140329	0.9588403586
122	0.1387974647	0.9588785047
123	0.1386203317	0.9590692352
124	0.1385799843	0.9591073813
125	0.1381556197	0.9594125501
126	0.1381393621	0.9594888423
127	0.1381288092	0.9594125501
128	0.1381261046	0.9594125501
129	0.1380449345	0.959374404
130	0.1379739603	0.959374404
131	0.1379630963	0.959374404
132	0.1379593168	0.9593362579
133	0.1378968758	0.9594888423
134	0.1376721066	0.9594888423
135	0.1376360607	0.9594506962
136	0.1376335621	0.9594506962
137	0.1375433469	0.9595651345
138	0.1375216535	0.9596032806
139	0.1374394907	0.9594125501
140	0.1373246222	0.9596414267
141	0.1370713008	0.9596414267
142	0.13700489	0.9596795728
143	0.1369371789	0.959755865
144	0.136916266	0.959755865
145	0.1368958533	0.959755865
146	0.1368695996	0.9598321572
147	0.1368320713	0.9597940111
148	0.1368241239	0.9598321572
149	0.136594851	0.9599084494
150	0.1364971783	0.9600610338
151	0.1364794353	0.9599465955
152	0.1364351973	0.9600991799
153	0.1363778279	0.9600610338
154	0.1363737942	0.9600991799
155	0.1363311194	0.9601754721
156	0.13632992	0.9602136182
157	0.1363276928	0.9602136182
158	0.136321478	0.9602136182
159	0.136228156	0.9603280565
160	0.1362076315	0.9603280565
161	0.1361459552	0.9602899104
162	0.1360756895	0.9603280565
163	0.1360310716	0.9603280565
164	0.1360298902	0.9603280565
165	0.1359935131	0.9604043487
166	0.1359674626	0.9604043487
167	0.1357403458	0.9604806409
168	0.1356793305	0.9606713714
169	0.1355537395	0.9610146862
170	0.135551152	0.9610146862
171	0.1355493499	0.9610146862
172	0.1355228567	0.9610146862
173	0.1354814973	0.9610146862
174	0.1354803273	0.9610146862
175	0.1354623342	0.9610146862
176	0.1354572532	0.9610528323
177	0.1354517421	0.9610528323
178	0.1354079611	0.9610528323
179	0.1352916863	0.9611291245
180	0.1352735091	0.9611291245
181	0.1352689643	0.9611291245
182	0.135219422	0.9611291245
