iter	Logloss	Accuracy
0	0.6336451572	0.9426282663
1	0.5805402393	0.9426282663
2	0.5345963631	0.9426282663
3	0.4936528132	0.9426282663
4	0.4592787997	0.9426282663
5	0.4284707586	0.9426282663
6	0.4026240254	0.9426282663
7	0.3795463112	0.9426282663
8	0.3576048873	0.9426282663
9	0.3393715494	0.9426282663
10	0.32472093	0.9426282663
11	0.3115809781	0.9426282663
12	0.3004035816	0.9426282663
13	0.2905258933	0.9426282663
14	0.2794138029	0.9426282663
15	0.2683046111	0.9426282663
16	0.2596566873	0.9426282663
17	0.2508299705	0.9426282663
18	0.2428504765	0.9426282663
19	0.2361480506	0.9426282663
20	0.2295471137	0.9426282663
21	0.2240099086	0.9426282663
22	0.2198166573	0.9426282663
23	0.215427612	0.9426282663
24	0.2111594241	0.9426282663
25	0.2071497133	0.9426282663
26	0.203497135	0.9426282663
27	0.2005468105	0.9426282663
28	0.1978890103	0.9426282663
29	0.1959352327	0.9426282663
30	0.1939560438	0.9426282663
31	0.1917650762	0.9426282663
32	0.1894800993	0.9426282663
33	0.1880184662	0.9426664124
34	0.1868113493	0.9426664124
35	0.1851206138	0.9427045585
36	0.1837806315	0.9427427046
37	0.182725648	0.9426664124
38	0.1817444336	0.9428189968
39	0.18087793	0.9431623117
40	0.179968948	0.9435437726
41	0.1791833587	0.9442685485
42	0.1785388625	0.9448025939
43	0.1777343325	0.9454129315
44	0.1768975298	0.9456799542
45	0.1763497552	0.9462139996
46	0.1758003372	0.945985123
47	0.175363714	0.9460995613
48	0.1746247033	0.9460995613
49	0.1740927379	0.9460614152
50	0.1733368698	0.9462902918
51	0.1726269142	0.9465191684
52	0.1720043581	0.9467098989
53	0.1715827299	0.9466717528
54	0.1710951248	0.9466717528
55	0.1706136865	0.9469006294
56	0.1704124473	0.9470532138
57	0.1699297737	0.9472820904
58	0.1695602553	0.9475491131
59	0.1691583989	0.9476635514
60	0.1689476731	0.9476635514
61	0.1683155424	0.947892428
62	0.1682556554	0.9478542819
63	0.1680042308	0.9479305741
64	0.1674047342	0.948273889
65	0.1668961814	0.9483883273
66	0.1664442817	0.9486172039
67	0.166085212	0.94865535
68	0.1660037275	0.9485790578
69	0.1656525444	0.9486934961
70	0.1654373489	0.9487316422
71	0.1651252029	0.9491131032
72	0.1648663855	0.9490749571
73	0.16482121	0.9490749571
74	0.1645699606	0.9491131032
75	0.1644971328	0.9491131032
76	0.1642873227	0.9491893954
77	0.1640324952	0.9492656876
78	0.1635722131	0.9494564181
79	0.1633878654	0.9496090025
80	0.1631481899	0.9496090025
81	0.1630758537	0.9496852947
82	0.1629531175	0.9497234408
83	0.1628770079	0.9497615869
84	0.1626218966	0.9499141713
85	0.16251147	0.9499904635
86	0.1624060034	0.9499904635
87	0.1622806717	0.9501049018
88	0.162205922	0.9501430479
89	0.1619784689	0.950181194
90	0.1618433909	0.9500667557
91	0.1617725529	0.9500667557
92	0.1616675842	0.950181194
93	0.161611551	0.9502193401
94	0.161522633	0.950181194
95	0.1614586597	0.9502956323
96	0.1614021728	0.9502956323
97	0.1613446965	0.950181194
98	0.1612476858	0.950181194
99	0.1612006984	0.950181194
100	0.1611478593	0.9502193401
101	0.1609757402	0.9504100706
102	0.1608383378	0.9502956323
103	0.1608349622	0.9502956323
104	0.1607292369	0.9502956323
105	0.160705528	0.9503719245
106	0.1605675499	0.9504863628
107	0.1605293186	0.9505245089
108	0.1605149588	0.9504863628
109	0.1604549485	0.9504863628
110	0.1604346103	0.950562655
111	0.1602729812	0.950562655
112	0.1601892347	0.950562655
113	0.1601611403	0.950562655
114	0.1601140906	0.9506008011
115	0.1600860929	0.9506008011
116	0.1598882563	0.950562655
117	0.15985705	0.950562655
118	0.1598270176	0.9506008011
119	0.159801462	0.950562655
120	0.159775382	0.9506008011
121	0.1596886005	0.9506389472
122	0.1596100694	0.9506008011
123	0.159561396	0.9506008011
124	0.1595451305	0.9506389472
125	0.1595200214	0.9506389472
126	0.1594856625	0.9506770933
127	0.1594543512	0.9506770933
128	0.1594397942	0.9506770933
129	0.1594156313	0.9506389472
130	0.1593942427	0.9506008011
131	0.1593935505	0.9506008011
132	0.159383181	0.9506008011
133	0.1592287876	0.9506389472
134	0.1592049742	0.9506389472
135	0.1591942622	0.9506389472
136	0.159171592	0.9506770933
137	0.159156199	0.9506770933
138	0.1590473343	0.9507533855
139	0.1590469553	0.9507533855
140	0.1590442684	0.9507533855
141	0.1589932423	0.9507533855
142	0.1588715418	0.9507915316
143	0.1588698841	0.9507915316
144	0.1588428757	0.9508296777
145	0.1588428244	0.9507915316
146	0.1588427781	0.9507915316
147	0.1588001672	0.9507152394
148	0.1587630819	0.9507152394
149	0.1586676178	0.9506008011
150	0.1586522868	0.9505245089
151	0.1586316215	0.9506008011
152	0.1584983855	0.9507152394
153	0.158493794	0.9506389472
154	0.1584937182	0.9506389472
155	0.1584839404	0.9506389472
156	0.1584838904	0.9506389472
157	0.1584787283	0.9506008011
158	0.1584538358	0.9505245089
159	0.1582850001	0.9506008011
160	0.1582375709	0.9507152394
161	0.1581894319	0.9507533855
162	0.1581214849	0.9507915316
163	0.1581157236	0.9507915316
164	0.1581006545	0.9507152394
165	0.1580666041	0.9506770933
166	0.1578904683	0.9508678238
167	0.1578362266	0.9508296777
168	0.1577854231	0.9508296777
169	0.1577441989	0.9508296777
170	0.1577061497	0.9508296777
171	0.1576138679	0.9508296777
172	0.1575604552	0.9509822621
173	0.1574852582	0.950944116
174	0.1573876578	0.9509822621
175	0.1573874323	0.9509822621
176	0.1573301575	0.9509059699
177	0.1572814306	0.9509059699
178	0.1572447606	0.9509059699
179	0.1572077267	0.9510204082
180	0.1571733518	0.9510204082
181	0.1570840076	0.9510585543
182	0.1570149095	0.9510204082
183	0.1569943871	0.9510585543
184	0.1568562509	0.9510967004
185	0.1568515823	0.9511348465
186	0.1568428683	0.9511348465
187	0.1566307911	0.9510585543
188	0.1566182077	0.9511348465
189	0.1563458873	0.9512111387
190	0.1561287683	0.9514400153
191	0.1560625634	0.9515544536
192	0.1559989357	0.9515544536
193	0.1558981405	0.9515925997
194	0.1558945735	0.9515163075
195	0.1558878816	0.9515163075
196	0.1558859711	0.9515163075
197	0.1558768029	0.9515544536
198	0.1558376943	0.9515544536
199	0.1558021219	0.9516688919
200	0.1557547031	0.9516307458
201	0.1557524121	0.9515925997
202	0.1557389973	0.9515925997
203	0.1557281639	0.9516307458
204	0.1556518339	0.9515925997
205	0.1556477014	0.9515544536
206	0.15563821	0.9515163075
207	0.1556251702	0.9515163075
208	0.1556083216	0.9515163075
209	0.1556028856	0.9515163075
210	0.1555837978	0.9515544536
211	0.1555733304	0.9515544536
212	0.1555600719	0.9515163075
213	0.1554782203	0.9514400153
214	0.1553909743	0.9514400153
215	0.1553494719	0.9514781614
216	0.155117206	0.9515925997
217	0.1550878924	0.9516307458
218	0.1549965996	0.9516307458
219	0.1549648041	0.9516307458
220	0.1548944089	0.9516307458
221	0.1548937878	0.9516688919
222	0.1548341385	0.951707038
223	0.1547880893	0.9516688919
224	0.1547793499	0.9517451841
225	0.1547262695	0.9517833302
226	0.1545004691	0.9519740607
227	0.1544248992	0.9520503529
228	0.1543547542	0.9520503529
229	0.1543359852	0.9521266451
230	0.154251957	0.9521266451
231	0.1541974822	0.9521647912
232	0.1541149366	0.9523936677
233	0.1541055518	0.9523936677
234	0.1541012964	0.9523555216
235	0.153880533	0.9524318138
236	0.153878442	0.9524318138
237	0.1538541657	0.9523555216
238	0.1538434281	0.9523555216
239	0.1538393082	0.9522792294
240	0.1538232479	0.9523173755
241	0.1537962712	0.9523555216
242	0.1537546744	0.9523555216
243	0.1537067612	0.9522792294
244	0.1536604931	0.9523555216
245	0.1536414187	0.9523936677
246	0.1536374942	0.9523936677
247	0.1536207157	0.9523555216
248	0.1535918038	0.9523555216
249	0.1534441684	0.9523555216
250	0.1534352537	0.9523555216
251	0.1534047733	0.9523936677
252	0.1533961068	0.9523936677
253	0.1533494746	0.952508106
254	0.1533402607	0.9525843982
255	0.1533142519	0.9526225443
256	0.1532834916	0.9525843982
257	0.1532635911	0.9525462521
258	0.1532405529	0.9526225443
259	0.1532040305	0.9525843982
260	0.1531619679	0.9526988365
261	0.1531035351	0.9525843982
262	0.1530506734	0.9526606904
263	0.1530420286	0.9526606904
